[ 6385.124341] ----------del memcg from kmigraterd unlock----------
[ 6921.870160] ----------------kmigraterd run normally----------------
[ 6921.870189] ----------------kmigraterd run normally----------------
[ 6921.886500] in system call ksamplingd init
[ 6921.886504] the pid we sample: 26668
[ 6921.886549] the pid we sample: 26668
[ 6921.886575] the pid we sample: 26668
[ 6921.886619] the pid we sample: 26668
[ 6921.886661] the pid we sample: 26668
[ 6921.886698] the pid we sample: 26668
[ 6921.886728] the pid we sample: 26668
[ 6921.886751] the pid we sample: 26668
[ 6921.886779] the pid we sample: 26668
[ 6921.886808] the pid we sample: 26668
[ 6921.886843] the pid we sample: 26668
[ 6921.886873] the pid we sample: 26668
[ 6921.886911] the pid we sample: 26668
[ 6921.886942] the pid we sample: 26668
[ 6921.886965] the pid we sample: 26668
[ 6921.887040] the pid we sample: 26668
[ 6921.887076] the pid we sample: 26668
[ 6921.887112] the pid we sample: 26668
[ 6921.887142] the pid we sample: 26668
[ 6921.887164] the pid we sample: 26668
[ 6921.887193] the pid we sample: 26668
[ 6921.887217] the pid we sample: 26668
[ 6921.887253] the pid we sample: 26668
[ 6921.887284] the pid we sample: 26668
[ 6921.887322] the pid we sample: 26668
[ 6921.887352] the pid we sample: 26668
[ 6921.887376] the pid we sample: 26668
[ 6921.887405] the pid we sample: 26668
[ 6921.887436] the pid we sample: 26668
[ 6921.887472] the pid we sample: 26668
[ 6921.887503] the pid we sample: 26668
[ 6921.887527] the pid we sample: 26668
[ 6921.887556] the pid we sample: 26668
[ 6921.887580] the pid we sample: 26668
[ 6921.887613] the pid we sample: 26668
[ 6921.887642] the pid we sample: 26668
[ 6921.887673] the pid we sample: 26668
[ 6921.887701] the pid we sample: 26668
[ 6921.887723] the pid we sample: 26668
[ 6921.887752] the pid we sample: 26668
[ 6921.887781] the pid we sample: 26668
[ 6921.887812] the pid we sample: 26668
[ 6921.887840] the pid we sample: 26668
[ 6921.887862] the pid we sample: 26668
[ 6921.887889] the pid we sample: 26668
[ 6921.887909] the pid we sample: 26668
[ 6921.887939] the pid we sample: 26668
[ 6921.887972] the pid we sample: 26668
[ 6921.887998] the pid we sample: 26668
[ 6921.888026] the pid we sample: 26668
[ 6921.888054] the pid we sample: 26668
[ 6921.888076] the pid we sample: 26668
[ 6921.888114] the pid we sample: 26668
[ 6921.888144] the pid we sample: 26668
[ 6921.888173] the pid we sample: 26668
[ 6921.888200] the pid we sample: 26668
[ 6921.888222] the pid we sample: 26668
[ 6921.888251] the pid we sample: 26668
[ 6921.888281] the pid we sample: 26668
[ 6921.888311] the pid we sample: 26668
[ 6921.888338] the pid we sample: 26668
[ 6921.888360] the pid we sample: 26668
[ 6921.888388] the pid we sample: 26668
[ 6921.888415] the pid we sample: 26668
[ 6921.888448] the pid we sample: 26668
[ 6921.888476] the pid we sample: 26668
[ 6921.888505] the pid we sample: 26668
[ 6921.888533] the pid we sample: 26668
[ 6921.888557] the pid we sample: 26668
[ 6921.888582] the pid we sample: 26668
[ 6921.888616] the pid we sample: 26668
[ 6921.888645] the pid we sample: 26668
[ 6921.888671] the pid we sample: 26668
[ 6921.888693] the pid we sample: 26668
[ 6921.888721] the pid we sample: 26668
[ 6921.888743] the pid we sample: 26668
[ 6921.888777] the pid we sample: 26668
[ 6921.888806] the pid we sample: 26668
[ 6921.888834] the pid we sample: 26668
[ 6921.888863] the pid we sample: 26668
[ 6921.888884] the pid we sample: 26668
[ 6921.888912] the pid we sample: 26668
[ 6921.888941] the pid we sample: 26668
[ 6921.888969] the pid we sample: 26668
[ 6921.888996] peb init ok then run ksamplingd
[ 6921.889027] ------------ksamplingd run normally------------
[ 6922.721912] perf: interrupt took too long (4637 > 2500), lowering kernel.perf_event_max_sample_rate to 43000
[ 6923.124574] perf: interrupt took too long (7048 > 5796), lowering kernel.perf_event_max_sample_rate to 28250
[ 7218.694560] total runtime: 477403470 ns, total cputime: 296808000 us, cpu usage: 1
[ 7218.694571] ------------ksamplingd exit normally------------
