pgmigrate_success 1014139
pgmigrate_fail 5
thp_migration_success 1956
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 91888
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 182
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 2976
thp_split_pmd 3384
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 1008630
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 32114010
htmm_alloc_nvm 21329639
MemTotal:       1184200808 kB
MemFree:        1163205472 kB
MemAvailable:   1161314304 kB
Buffers:          212340 kB
Cached:          1160080 kB
SwapCached:            0 kB
Active:           500640 kB
Inactive:        6248852 kB
Active(anon):          0 kB
Inactive(anon):  5383188 kB
Active(file):     500640 kB
Inactive(file):   865664 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               252 kB
Writeback:             0 kB
AnonPages:        838700 kB
Mapped:           398404 kB
Shmem:              6132 kB
KReclaimable:     393404 kB
Slab:             833216 kB
SReclaimable:     393404 kB
SUnreclaim:       439812 kB
KernelStack:       31664 kB
PageTables:        33992 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    8743128 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196144 kB
VmallocChunk:          0 kB
Percpu:           138880 kB
HardwareCorrupted:     0 kB
AnonHugePages:    198656 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      542184 kB
DirectMap2M:     8331264 kB
DirectMap1G:    1180696576 kB
