pgmigrate_success 12937
pgmigrate_fail 4
thp_migration_success 5
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 55626
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 95
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 1957
thp_split_pmd 1958
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 7704
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 21494210
htmm_alloc_nvm 10482146
MemTotal:       1184200808 kB
MemFree:        1163419840 kB
MemAvailable:   1161488112 kB
Buffers:          185648 kB
Cached:          1112484 kB
SwapCached:            0 kB
Active:           441836 kB
Inactive:        5257892 kB
Active(anon):          0 kB
Inactive(anon):  4407692 kB
Active(file):     441836 kB
Inactive(file):   850200 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                56 kB
Writeback:             0 kB
AnonPages:        781392 kB
Mapped:           379656 kB
Shmem:              6132 kB
KReclaimable:     386552 kB
Slab:             815732 kB
SReclaimable:     386552 kB
SUnreclaim:       429180 kB
KernelStack:       32432 kB
PageTables:        32800 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6599524 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196104 kB
VmallocChunk:          0 kB
Percpu:           132160 kB
HardwareCorrupted:     0 kB
AnonHugePages:    194560 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      542184 kB
DirectMap2M:     8331264 kB
DirectMap1G:    1180696576 kB
