[19424.634821] ----------del memcg from kmigraterd unlock----------
[20317.372211] ----------------kmigraterd run normally----------------
[20317.372240] ----------------kmigraterd run normally----------------
[20317.388367] in system call ksamplingd init
[20317.388372] the pid we sample: 61755
[20317.388417] the pid we sample: 61755
[20317.388440] the pid we sample: 61755
[20317.388469] the pid we sample: 61755
[20317.388514] the pid we sample: 61755
[20317.388544] the pid we sample: 61755
[20317.388571] the pid we sample: 61755
[20317.388595] the pid we sample: 61755
[20317.388625] the pid we sample: 61755
[20317.388649] the pid we sample: 61755
[20317.388680] the pid we sample: 61755
[20317.388701] the pid we sample: 61755
[20317.388729] the pid we sample: 61755
[20317.388758] the pid we sample: 61755
[20317.388781] the pid we sample: 61755
[20317.388809] the pid we sample: 61755
[20317.388834] the pid we sample: 61755
[20317.388866] the pid we sample: 61755
[20317.388926] the pid we sample: 61755
[20317.388950] the pid we sample: 61755
[20317.388979] the pid we sample: 61755
[20317.389001] the pid we sample: 61755
[20317.389030] the pid we sample: 61755
[20317.389055] the pid we sample: 61755
[20317.389084] the pid we sample: 61755
[20317.389114] the pid we sample: 61755
[20317.389142] the pid we sample: 61755
[20317.389164] the pid we sample: 61755
[20317.389193] the pid we sample: 61755
[20317.389223] the pid we sample: 61755
[20317.389251] the pid we sample: 61755
[20317.389280] the pid we sample: 61755
[20317.389302] the pid we sample: 61755
[20317.389331] the pid we sample: 61755
[20317.389368] the pid we sample: 61755
[20317.389399] the pid we sample: 61755
[20317.389436] the pid we sample: 61755
[20317.389460] the pid we sample: 61755
[20317.389489] the pid we sample: 61755
[20317.389513] the pid we sample: 61755
[20317.389540] the pid we sample: 61755
[20317.389578] the pid we sample: 61755
[20317.389608] the pid we sample: 61755
[20317.389634] the pid we sample: 61755
[20317.389658] the pid we sample: 61755
[20317.389686] the pid we sample: 61755
[20317.389721] the pid we sample: 61755
[20317.389754] the pid we sample: 61755
[20317.389778] the pid we sample: 61755
[20317.389801] the pid we sample: 61755
[20317.389829] the pid we sample: 61755
[20317.389851] the pid we sample: 61755
[20317.389884] the pid we sample: 61755
[20317.389910] the pid we sample: 61755
[20317.389941] the pid we sample: 61755
[20317.389971] the pid we sample: 61755
[20317.389995] the pid we sample: 61755
[20317.390023] the pid we sample: 61755
[20317.390057] the pid we sample: 61755
[20317.390090] the pid we sample: 61755
[20317.390116] the pid we sample: 61755
[20317.390138] the pid we sample: 61755
[20317.390170] the pid we sample: 61755
[20317.390193] the pid we sample: 61755
[20317.390223] the pid we sample: 61755
[20317.390256] the pid we sample: 61755
[20317.390288] the pid we sample: 61755
[20317.390317] the pid we sample: 61755
[20317.390347] the pid we sample: 61755
[20317.390369] the pid we sample: 61755
[20317.390396] the pid we sample: 61755
[20317.390426] the pid we sample: 61755
[20317.390454] the pid we sample: 61755
[20317.390482] the pid we sample: 61755
[20317.390506] the pid we sample: 61755
[20317.390534] the pid we sample: 61755
[20317.390567] the pid we sample: 61755
[20317.390594] the pid we sample: 61755
[20317.390623] the pid we sample: 61755
[20317.390645] the pid we sample: 61755
[20317.390673] the pid we sample: 61755
[20317.390697] the pid we sample: 61755
[20317.390725] the pid we sample: 61755
[20317.390754] the pid we sample: 61755
[20317.390781] peb init ok then run ksamplingd
[20317.390812] ------------ksamplingd run normally------------
[20317.637355] perf: interrupt took too long (23047 > 2500), lowering kernel.perf_event_max_sample_rate to 8500
[20320.592752] perf: interrupt took too long (32497 > 28808), lowering kernel.perf_event_max_sample_rate to 6000
[20805.780937] total runtime: 1446932777 ns, total cputime: 488352000 us, cpu usage: 2
[20805.780948] ------------ksamplingd exit normally------------
