pgmigrate_success 1014133
pgmigrate_fail 5
thp_migration_success 1956
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 91874
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 179
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 2959
thp_split_pmd 3366
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 1008630
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 32073773
htmm_alloc_nvm 21329639
MemTotal:       1184200808 kB
MemFree:        1163203840 kB
MemAvailable:   1161312572 kB
Buffers:          212200 kB
Cached:          1160092 kB
SwapCached:            0 kB
Active:           500460 kB
Inactive:        6245980 kB
Active(anon):          0 kB
Inactive(anon):  5380300 kB
Active(file):     500460 kB
Inactive(file):   865680 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               100 kB
Writeback:             0 kB
AnonPages:        836592 kB
Mapped:           398996 kB
Shmem:              6132 kB
KReclaimable:     393368 kB
Slab:             834488 kB
SReclaimable:     393368 kB
SUnreclaim:       441120 kB
KernelStack:       31760 kB
PageTables:        34124 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    8743128 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196112 kB
VmallocChunk:          0 kB
Percpu:           137536 kB
HardwareCorrupted:     0 kB
AnonHugePages:    198656 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      542184 kB
DirectMap2M:     8331264 kB
DirectMap1G:    1180696576 kB
