pgmigrate_success 2348
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 0
pgmigrate_fail_numa_isolate_fail 0
pgmigrate_fail_nomem_fail 0
pgmigrate_fail_refcount_fail 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1174914640 kB
MemFree:        1155723412 kB
MemAvailable:   1153328416 kB
Buffers:            1968 kB
Cached:           381184 kB
SwapCached:            0 kB
Active:            80628 kB
Inactive:         903240 kB
Active(anon):        844 kB
Inactive(anon):   605488 kB
Active(file):      79784 kB
Inactive(file):   297752 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                68 kB
Writeback:             0 kB
AnonPages:        600396 kB
Mapped:           377796 kB
Shmem:              6116 kB
KReclaimable:     169768 kB
Slab:             550188 kB
SReclaimable:     169768 kB
SUnreclaim:       380420 kB
KernelStack:       31136 kB
PageTables:        31328 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    589554468 kB
Committed_AS:    6338552 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      192972 kB
VmallocChunk:          0 kB
Percpu:           144256 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      562664 kB
DirectMap2M:     8310784 kB
DirectMap1G:    1180696576 kB
