pgmigrate_success 16222351
pgmigrate_fail 1553
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 243
pgmigrate_fail_numa_isolate_fail 357
pgmigrate_fail_nomem_fail 18
pgmigrate_fail_refcount_fail 398
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1153238616 kB
MemFree:        1111490012 kB
MemAvailable:   1130373328 kB
Buffers:           62280 kB
Cached:         22499396 kB
SwapCached:            0 kB
Active:            50808 kB
Inactive:       23108548 kB
Active(anon):       1604 kB
Inactive(anon):   602192 kB
Active(file):      49204 kB
Inactive(file): 22506356 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:             66224 kB
Writeback:             0 kB
AnonPages:        597652 kB
Mapped:           372116 kB
Shmem:              6112 kB
KReclaimable:     223672 kB
Slab:             615964 kB
SReclaimable:     223672 kB
SUnreclaim:       392292 kB
KernelStack:       31344 kB
PageTables:        31716 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    578716456 kB
Committed_AS:    6375024 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      192476 kB
VmallocChunk:          0 kB
Percpu:           145152 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      650728 kB
DirectMap2M:     9271296 kB
DirectMap1G:    1179648000 kB
