pgmigrate_success 4122064
pgmigrate_fail 101
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554577392 kB
MemFree:        523965104 kB
MemAvailable:   523011388 kB
Buffers:           34720 kB
Cached:           506080 kB
SwapCached:        34960 kB
Active:          2387692 kB
Inactive:        8909696 kB
Active(anon):    2320784 kB
Inactive(anon):  8440936 kB
Active(file):      66908 kB
Inactive(file):   468760 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:         556484 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:      10720908 kB
Mapped:           435272 kB
Shmem:              5124 kB
KReclaimable:     183588 kB
Slab:             477808 kB
SReclaimable:     183588 kB
SUnreclaim:       294220 kB
KernelStack:       33280 kB
PageTables:        67268 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279385844 kB
Committed_AS:    8380000 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140680 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      583144 kB
DirectMap2M:     8290304 kB
DirectMap1G:    1182793728 kB
