pgmigrate_success 3296729
pgmigrate_fail 92
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554577392 kB
MemFree:        523469748 kB
MemAvailable:   522477440 kB
Buffers:            9596 kB
Cached:           446352 kB
SwapCached:        28612 kB
Active:          2927392 kB
Inactive:        8986196 kB
Active(anon):    2906992 kB
Inactive(anon):  8557196 kB
Active(file):      20400 kB
Inactive(file):   429000 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1649540 kB
Dirty:               200 kB
Writeback:             0 kB
AnonPages:      11447196 kB
Mapped:           443804 kB
Shmem:              5124 kB
KReclaimable:     192680 kB
Slab:             486948 kB
SReclaimable:     192680 kB
SUnreclaim:       294268 kB
KernelStack:       32496 kB
PageTables:        65856 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279385844 kB
Committed_AS:    8397964 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140728 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      583144 kB
DirectMap2M:     8290304 kB
DirectMap1G:    1182793728 kB
