pgmigrate_success 847067
pgmigrate_fail 34
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       559414764 kB
MemFree:        539504052 kB
MemAvailable:   538405756 kB
Buffers:           23188 kB
Cached:           295276 kB
SwapCached:            0 kB
Active:           150664 kB
Inactive:         752296 kB
Active(anon):        432 kB
Inactive(anon):   590308 kB
Active(file):     150232 kB
Inactive(file):   161988 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        584608 kB
Mapped:           248352 kB
Shmem:              6248 kB
KReclaimable:     175024 kB
Slab:             454600 kB
SReclaimable:     175024 kB
SUnreclaim:       279576 kB
KernelStack:       31744 kB
PageTables:        42840 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    281804528 kB
Committed_AS:    6642724 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140100 kB
VmallocChunk:          0 kB
Percpu:           134400 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      550376 kB
DirectMap2M:     9371648 kB
DirectMap1G:    1181745152 kB
