pgmigrate_success 33353589
pgmigrate_fail 195
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       591964640 kB
MemFree:        572688456 kB
MemAvailable:   571381120 kB
Buffers:           12464 kB
Cached:           268656 kB
SwapCached:         5336 kB
Active:            22692 kB
Inactive:         549984 kB
Active(anon):      12708 kB
Inactive(anon):   280960 kB
Active(file):       9984 kB
Inactive(file):   269024 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1773272 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        288172 kB
Mapped:           204684 kB
Shmem:              2108 kB
KReclaimable:     174644 kB
Slab:             459280 kB
SReclaimable:     174644 kB
SUnreclaim:       284636 kB
KernelStack:       32128 kB
PageTables:        42692 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    298079468 kB
Committed_AS:    6867424 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      193868 kB
VmallocChunk:          0 kB
Percpu:           134400 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      604648 kB
DirectMap2M:     8484864 kB
DirectMap1G:    1177550848 kB
