pgmigrate_success 51920310
pgmigrate_fail 268
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       580610532 kB
MemFree:        561128172 kB
MemAvailable:   559930532 kB
Buffers:            6096 kB
Cached:           364088 kB
SwapCached:         6920 kB
Active:            18376 kB
Inactive:         861784 kB
Active(anon):       8560 kB
Inactive(anon):   507388 kB
Active(file):       9816 kB
Inactive(file):   354396 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1990676 kB
Dirty:                72 kB
Writeback:             0 kB
AnonPages:        509692 kB
Mapped:           361512 kB
Shmem:              5040 kB
KReclaimable:     174716 kB
Slab:             455864 kB
SReclaimable:     174716 kB
SUnreclaim:       281148 kB
KernelStack:       31872 kB
PageTables:        42356 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    292402412 kB
Committed_AS:    6684664 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      193528 kB
VmallocChunk:          0 kB
Percpu:           133056 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      528872 kB
DirectMap2M:     8560640 kB
DirectMap1G:    1166016512 kB
