pgmigrate_success 199808
pgmigrate_fail 75
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       561479144 kB
MemFree:        541492104 kB
MemAvailable:   540379996 kB
Buffers:            5428 kB
Cached:           311656 kB
SwapCached:            0 kB
Active:            88476 kB
Inactive:         859344 kB
Active(anon):        448 kB
Inactive(anon):   636504 kB
Active(file):      88028 kB
Inactive(file):   222840 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:        630812 kB
Mapped:           308404 kB
Shmem:              6208 kB
KReclaimable:     173124 kB
Slab:             458672 kB
SReclaimable:     173124 kB
SUnreclaim:       285548 kB
KernelStack:       32672 kB
PageTables:        44596 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    282836720 kB
Committed_AS:    7090680 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      194880 kB
VmallocChunk:          0 kB
Percpu:           133056 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      607720 kB
DirectMap2M:     9314304 kB
DirectMap1G:    1181745152 kB
