pgmigrate_success 4852777
pgmigrate_fail 7351336
thp_migration_success 2817
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 31101
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 2
thp_collapse_alloc_failed 53
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 1514
thp_split_page_failed 0
thp_deferred_split_page 1514
thp_split_pmd 1514
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 155
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 1514
MemTotal:       569772520 kB
MemFree:        548024300 kB
MemAvailable:   548976812 kB
Buffers:           76688 kB
Cached:          2879472 kB
SwapCached:        47920 kB
Active:           184520 kB
Inactive:        3041520 kB
Active(anon):      60004 kB
Inactive(anon):   211584 kB
Active(file):     124516 kB
Inactive(file):  2829936 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1688140 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:        262668 kB
Mapped:           101136 kB
Shmem:              1696 kB
KReclaimable:     214596 kB
Slab:             506068 kB
SReclaimable:     214596 kB
SUnreclaim:       291472 kB
KernelStack:       31872 kB
PageTables:        43752 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    286983408 kB
Committed_AS:    6613308 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      193588 kB
VmallocChunk:          0 kB
Percpu:           133056 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      483816 kB
DirectMap2M:     9129984 kB
DirectMap1G:    1154482176 kB
