pgmigrate_success 76132317
pgmigrate_fail 103
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1184198096 kB
MemFree:        1165566692 kB
MemAvailable:   1163063252 kB
Buffers:            5404 kB
Cached:           360432 kB
SwapCached:            0 kB
Active:            43436 kB
Inactive:         982840 kB
Active(anon):       1704 kB
Inactive(anon):   665524 kB
Active(file):      41732 kB
Inactive(file):   317316 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               100 kB
Writeback:             0 kB
AnonPages:        661140 kB
Mapped:           357068 kB
Shmem:              6188 kB
KReclaimable:     175848 kB
Slab:             492040 kB
SReclaimable:     175848 kB
SUnreclaim:       316192 kB
KernelStack:       31408 kB
PageTables:        44176 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594196196 kB
Committed_AS:    6558148 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196228 kB
VmallocChunk:          0 kB
Percpu:           122304 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      450024 kB
DirectMap2M:     9472000 kB
DirectMap1G:    1179648000 kB
