pgmigrate_success 51229
pgmigrate_fail 8
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       551170540 kB
MemFree:        531656656 kB
MemAvailable:   530654640 kB
Buffers:            5608 kB
Cached:           402144 kB
SwapCached:            0 kB
Active:           156380 kB
Inactive:         838564 kB
Active(anon):        836 kB
Inactive(anon):   592660 kB
Active(file):     155544 kB
Inactive(file):   245904 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:              1036 kB
Writeback:             0 kB
AnonPages:        587076 kB
Mapped:           399152 kB
Shmem:              6200 kB
KReclaimable:     181228 kB
Slab:             461168 kB
SReclaimable:     181228 kB
SUnreclaim:       279940 kB
KernelStack:       32720 kB
PageTables:        43196 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277682416 kB
Committed_AS:    6622992 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140984 kB
VmallocChunk:          0 kB
Percpu:           133952 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      485864 kB
DirectMap2M:     8056832 kB
DirectMap1G:    1136656384 kB
