pgmigrate_success 2232440
pgmigrate_fail 27
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       566984172 kB
MemFree:        519591404 kB
MemAvailable:   545710380 kB
Buffers:            5724 kB
Cached:         28083188 kB
SwapCached:        12888 kB
Active:           174548 kB
Inactive:       28132412 kB
Active(anon):      24868 kB
Inactive(anon):   195188 kB
Active(file):     149680 kB
Inactive(file): 27937224 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1714812 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        207060 kB
Mapped:           194600 kB
Shmem:              2004 kB
KReclaimable:     244084 kB
Slab:             526732 kB
SReclaimable:     244084 kB
SUnreclaim:       282648 kB
KernelStack:       32208 kB
PageTables:        43084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    285589232 kB
Committed_AS:    6644384 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      193956 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      443880 kB
DirectMap2M:     9478144 kB
DirectMap1G:    1181745152 kB
