pgmigrate_success 81949
pgmigrate_fail 24
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       557903340 kB
MemFree:        537785232 kB
MemAvailable:   536727944 kB
Buffers:            5744 kB
Cached:           378584 kB
SwapCached:            0 kB
Active:           119420 kB
Inactive:         862440 kB
Active(anon):        456 kB
Inactive(anon):   603364 kB
Active(file):     118964 kB
Inactive(file):   259076 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               976 kB
Writeback:             0 kB
AnonPages:        597876 kB
Mapped:           375972 kB
Shmem:              6208 kB
KReclaimable:     173364 kB
Slab:             457072 kB
SReclaimable:     173364 kB
SUnreclaim:       283708 kB
KernelStack:       31888 kB
PageTables:        43600 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    281048816 kB
Committed_AS:    6699080 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140232 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      546280 kB
DirectMap2M:    10424320 kB
DirectMap1G:    1180696576 kB
