pgmigrate_success 90362
pgmigrate_fail 78
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554577388 kB
MemFree:        533874032 kB
MemAvailable:   532968228 kB
Buffers:           79184 kB
Cached:           527784 kB
SwapCached:            0 kB
Active:           191228 kB
Inactive:        1032804 kB
Active(anon):        456 kB
Inactive(anon):   622800 kB
Active(file):     190772 kB
Inactive(file):   410004 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:        617504 kB
Mapped:           376944 kB
Shmem:              6208 kB
KReclaimable:     214308 kB
Slab:             528504 kB
SReclaimable:     214308 kB
SUnreclaim:       314196 kB
KernelStack:       31984 kB
PageTables:        43760 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279385840 kB
Committed_AS:    6622908 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140280 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      515560 kB
DirectMap2M:     9406464 kB
DirectMap1G:    1181745152 kB
